api_provider,config_id,created_at,enabled,failure_threshold,initial_batch_size,input_cost_per_million_tokens,last_updated,max_batch_size,min_batch_size,model_pattern,notes,output_cost_per_million_tokens,priority,rate_limit_factor,success_threshold,ttl,weight
perplexity,9c8ce1ff-0e93-46af-a952-edd1208b92dc,2025-09-05T18:34:30.540548+00:00,True,2.0,80.0,3.0,2025-09-05T18:34:30.540548+00:00,100.0,40.0,sonar-pro*,Tier 3: Sonar Pro - Comparable to Claude Sonnet,15.0,3.0,0.75,5.0,1788633270.0,1.3
perplexity,3d450936-8cb6-42b9-a6bf-38525797d355,2025-09-05T18:34:30.624227+00:00,True,2.0,40.0,1.0,2025-09-05T18:34:30.624227+00:00,60.0,20.0,llama-*,Tier 3: Generic Llama models,1.0,8.0,0.8,5.0,1788633270.0,1.0
anthropic,019fcb77-4ae3-4aac-975a-32651d2eb805,2025-09-05T18:34:30.316963+00:00,True,2.0,30.0,3.0,2025-09-05T18:34:30.316963+00:00,50.0,15.0,claude-3.7*,Tier 2: Sonnet 3.7 - Limited by 40k input TPM,15.0,2.0,0.6,5.0,1788633270.0,1.0
anthropic,df3e76dd-09a4-4b9e-91c2-e7e93b4f1e6f,2025-09-05T18:34:30.296487+00:00,True,2.0,100.0,3.0,2025-09-05T18:34:30.296487+00:00,200.0,50.0,claude-4-sonnet*,Tier 2: Sonnet 4 - Balanced performance and cost (alternate naming),15.0,2.0,0.5,5.0,1788633270.0,1.5
anthropic,53b28110-4543-4da5-ab86-df1cdd485199,2025-09-05T18:34:30.252975+00:00,True,2.0,100.0,3.0,2025-09-05T18:34:30.252975+00:00,200.0,50.0,claude-4*,Tier 2: Sonnet 4 - Balanced performance and cost,15.0,2.0,0.5,5.0,1788633270.0,1.5
perplexity,11a1873e-fae4-4915-8151-b4a93e151bd9,2025-09-05T18:34:30.500540+00:00,True,2.0,5.0,2.0,2025-09-05T18:34:30.500540+00:00,10.0,3.0,sonar-deep-research*,Tier 3: Deep research - 40 RPM + $5/1000 searches,8.0,1.0,0.5,3.0,1788633270.0,0.8
unknown,fd6c7728-3b06-47eb-81f1-2a563b6c143c,2025-09-05T18:34:30.665764+00:00,True,2.0,20.0,5.0,2025-09-05T18:34:30.665764+00:00,30.0,10.0,*,Default configuration for unmatched models,10.0,999.0,0.9,3.0,1788633270.0,1.0
anthropic,9aec2b4e-8511-4e6b-9329-7b445d337dd2,2025-09-05T18:34:30.421547+00:00,True,2.0,30.0,15.0,2025-09-05T18:34:30.421547+00:00,50.0,15.0,claude-3-opus*,Tier 2: Opus 3 - Limited by 40k input TPM,75.0,5.0,0.7,5.0,1788633270.0,1.0
perplexity,31baca90-3244-48c2-9ea1-91daec01a285,2025-09-05T18:34:30.645428+00:00,True,2.0,40.0,1.0,2025-09-05T18:34:30.645428+00:00,60.0,20.0,*sonar*,Tier 3: Fallback sonar pattern,1.0,9.0,0.75,5.0,1788633270.0,1.1
anthropic,06ac8892-a8d0-4278-84aa-66c8a795655a,2025-09-05T18:34:30.401449+00:00,True,2.0,25.0,0.8,2025-09-05T18:34:30.401449+00:00,40.0,15.0,claude-3.5-haiku*,Tier 2: Haiku 3.5 - Fastest and most cost-effective,4.0,4.0,0.7,5.0,1788633270.0,1.2
perplexity,4fee5d5f-268d-4642-bce6-35b9d01fe83c,2025-09-05T18:34:30.520013+00:00,True,2.0,80.0,2.0,2025-09-05T18:34:30.520013+00:00,100.0,40.0,sonar-reasoning-pro*,Tier 3: Reasoning Pro - Good balance for reasoning,8.0,2.0,0.7,5.0,1788633270.0,1.4
anthropic,0ee93cd1-77b1-4166-91a5-b88a2ff82636,2025-09-05T18:34:30.211084+00:00,True,2.0,100.0,15.0,2025-09-05T18:34:30.211084+00:00,200.0,50.0,claude-4-opus*,Tier 2: Opus 4.x - Most expensive but highest capability,75.0,1.0,0.5,5.0,1788633270.0,1.5
anthropic,0e00e019-a8d6-4240-8c87-fcd7abd3f737,2025-09-05T18:34:30.440671+00:00,True,2.0,25.0,0.8,2025-09-05T18:34:30.440671+00:00,40.0,15.0,claude-3-haiku*,Tier 2: Haiku 3 - Fast and cost-effective,4.0,6.0,0.8,4.0,1788633270.0,1.0
anthropic,dc5e924d-6191-4e92-979f-81c23a082004,2025-09-05T18:34:30.379445+00:00,True,2.0,25.0,0.8,2025-09-05T18:34:30.379445+00:00,40.0,15.0,claude-haiku-3.5*,Tier 2: Haiku 3.5 - Fastest and most cost-effective,4.0,4.0,0.7,5.0,1788633270.0,1.2
anthropic,a90e3648-331e-4404-a879-d76c9046ab2d,2025-09-05T18:34:30.232383+00:00,True,2.0,100.0,15.0,2025-09-05T18:34:30.232383+00:00,200.0,50.0,claude-opus-4*,Tier 2: Opus 4.x - Most expensive but highest capability (alternate naming),75.0,1.0,0.5,5.0,1788633270.0,1.5
anthropic,9d2b8991-235c-4a16-99a3-3e65b9a19d82,2025-09-05T18:34:30.481323+00:00,True,2.0,40.0,3.0,2025-09-05T18:34:30.481323+00:00,80.0,20.0,claude-*,Tier 2: Fallback for other Claude models,15.0,10.0,0.8,5.0,1788633270.0,0.8
anthropic,c80d6a20-0003-4fb2-9346-31c7f5737a6b,2025-09-05T18:34:30.359250+00:00,True,2.0,60.0,3.0,2025-09-05T18:34:30.359250+00:00,80.0,30.0,claude-3.5*,Tier 2: Claude 3.5 family - Moderate token limits,15.0,3.0,0.6,5.0,1788633270.0,1.3
anthropic,3f63c3eb-ca47-4285-ab8c-cdbfe1b569df,2025-09-05T18:34:30.338461+00:00,True,2.0,30.0,3.0,2025-09-05T18:34:30.338461+00:00,50.0,15.0,claude-sonnet-3.7*,Tier 2: Sonnet 3.7 - Limited by 40k input TPM,15.0,2.0,0.6,5.0,1788633270.0,1.0
anthropic,b09f1f1e-5d40-4d6d-8f18-47c945264f93,2025-09-05T18:34:30.461204+00:00,True,2.0,60.0,3.0,2025-09-05T18:34:30.461204+00:00,80.0,30.0,claude-3-sonnet*,Tier 2: Sonnet 3 - Standard model,15.0,7.0,0.75,5.0,1788633270.0,1.0
perplexity,3aa2ee88-2cdb-4c60-93ee-5de586104c75,2025-09-05T18:34:30.604011+00:00,True,2.0,50.0,1.0,2025-09-05T18:34:30.604011+00:00,70.0,25.0,llama-3.1-sonar-small*,Tier 3: Legacy small sonar pattern,1.0,7.0,0.75,5.0,1788633270.0,1.1
perplexity,ec375b0b-4bea-4a14-9cae-436c013823a3,2025-09-05T18:34:30.583240+00:00,True,2.0,50.0,1.0,2025-09-05T18:34:30.583240+00:00,70.0,25.0,llama-3.1-sonar-large*,Tier 3: Legacy large sonar pattern,1.0,6.0,0.75,5.0,1788633270.0,1.2
